song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,hot
Why Does My Heart Feel So Bad?,Moby,0.598,0.624,7.0,-6.923,1.0,0.0332,0.00108,0.0755,0.0826,0.0451,98.004,audio_features,spotify:track:22folQ3QnjKJJbLio4clzr,https://api.spotify.com/v1/tracks/22folQ3QnjKJJbLio4clzr,https://api.spotify.com/v1/audio-analysis/22folQ3QnjKJJbLio4clzr,264827.0,4.0,No
Il Volo,Zucchero,0.448,0.398,11.0,-11.711,1.0,0.0276,0.0335,0.00971,0.0581,0.165,149.939,audio_features,spotify:track:36fYJLNnFHgCezJFMJD3NU,https://api.spotify.com/v1/tracks/36fYJLNnFHgCezJFMJD3NU,https://api.spotify.com/v1/audio-analysis/36fYJLNnFHgCezJFMJD3NU,332360.0,4.0,No
The Next Episode,Dr. Dre,0.922,0.909,10.0,-2.429,0.0,0.27,0.0281,0.0,0.0856,0.309,95.295,audio_features,spotify:track:4LwU4Vp6od3Sb08CsP99GC,https://api.spotify.com/v1/tracks/4LwU4Vp6od3Sb08CsP99GC,https://api.spotify.com/v1/audio-analysis/4LwU4Vp6od3Sb08CsP99GC,161507.0,4.0,No
Geen Kind Meer,Karin Bloemen,0.197,0.0953,11.0,-22.479,0.0,0.044,0.967,0.00338,0.338,0.225,80.581,audio_features,spotify:track:0PxkgdzH3j76aTIZuq1f7q,https://api.spotify.com/v1/tracks/0PxkgdzH3j76aTIZuq1f7q,https://api.spotify.com/v1/audio-analysis/0PxkgdzH3j76aTIZuq1f7q,251890.0,4.0,No
All The Small Things,blink-182,0.434,0.897,0.0,-4.918,1.0,0.0488,0.0103,0.0,0.612,0.684,148.726,audio_features,spotify:track:2m1hi0nfMR9vdGC8UcrnwU,https://api.spotify.com/v1/tracks/2m1hi0nfMR9vdGC8UcrnwU,https://api.spotify.com/v1/audio-analysis/2m1hi0nfMR9vdGC8UcrnwU,167067.0,4.0,No
Run To The Water,Live,0.151,0.854,8.0,-4.508,0.0,0.052,0.00179,0.000851,0.0878,0.287,181.264,audio_features,spotify:track:3QdgPYfiUciRm2IbgirVta,https://api.spotify.com/v1/tracks/3QdgPYfiUciRm2IbgirVta,https://api.spotify.com/v1/audio-analysis/3QdgPYfiUciRm2IbgirVta,267573.0,4.0,No
Hart Van Mijn Gevoel,De Kast,0.436,0.389,3.0,-11.327,1.0,0.0278,0.505,0.0,0.229,0.226,139.765,audio_features,spotify:track:6o0eTZmvmJbLm5xJck1xvN,https://api.spotify.com/v1/tracks/6o0eTZmvmJbLm5xJck1xvN,https://api.spotify.com/v1/audio-analysis/6o0eTZmvmJbLm5xJck1xvN,269587.0,4.0,No
Smooth (feat. Rob Thomas),Santana,0.609,0.923,9.0,-3.908,1.0,0.0338,0.16,4.73e-06,0.295,0.961,115.996,audio_features,spotify:track:0n2SEXB2qoRQg171q7XqeW,https://api.spotify.com/v1/tracks/0n2SEXB2qoRQg171q7XqeW,https://api.spotify.com/v1/audio-analysis/0n2SEXB2qoRQg171q7XqeW,294987.0,4.0,No
My Name Is,Eminem,0.869,0.68,1.0,-6.233,1.0,0.318,0.0416,1.12e-06,0.0914,0.815,85.519,audio_features,spotify:track:75IN3CtuZwTHTnZvYM4qnJ,https://api.spotify.com/v1/tracks/75IN3CtuZwTHTnZvYM4qnJ,https://api.spotify.com/v1/audio-analysis/75IN3CtuZwTHTnZvYM4qnJ,268400.0,4.0,No
Desert Rose,Sting,0.577,0.654,0.0,-7.9,0.0,0.0321,0.0143,0.0,0.114,0.13,111.993,audio_features,spotify:track:4WhyHQ2BXi2VU1iaFbF6jv,https://api.spotify.com/v1/tracks/4WhyHQ2BXi2VU1iaFbF6jv,https://api.spotify.com/v1/audio-analysis/4WhyHQ2BXi2VU1iaFbF6jv,285893.0,4.0,No
Hey Boy Hey Girl,The Chemical Brothers,0.632,0.92,2.0,-4.976,1.0,0.0531,0.119,0.508,0.114,0.363,127.001,audio_features,spotify:track:7kXmJwrZGIhDaLT9sNo3ut,https://api.spotify.com/v1/tracks/7kXmJwrZGIhDaLT9sNo3ut,https://api.spotify.com/v1/audio-analysis/7kXmJwrZGIhDaLT9sNo3ut,290493.0,4.0,No
